HEAD	RELATION	TAIL
Neonatal Deformity	belongs_to_the_category_of	Dyschondroplasias
Congenital condition	belongs_to_the_category_of	Dyschondroplasias
Bacteria	belongs_to_the_category_of	Shigellosis
Bacterial infectious disease	belongs_to_the_category_of	Shigellosis
Bacterial	belongs_to_the_category_of	Shigellosis
Clinical finding	belongs_to_the_category_of	Taste sense altered
Clinical finding	belongs_to_the_category_of	Dyskinesia
Clinical finding	belongs_to_the_category_of	Dysmenorrhea
Congenital malformation	belongs_to_the_category_of	Dysostosis
Congenital MeSH qualifier	belongs_to_the_category_of	Dysostosis
Congenital defects	belongs_to_the_category_of	Dysostosis
Congenital disease	belongs_to_the_category_of	Dysostosis
Neonatal Deformity	belongs_to_the_category_of	Dysostosis
Congenital condition	belongs_to_the_category_of	Dysostosis
Clinical finding	belongs_to_the_category_of	Pain in female genitalia on intercourse
autosomal dominant trait	belongs_to_the_category_of	B-K mole (nevus) syndrome
Autosomal dominant inheritance	belongs_to_the_category_of	B-K mole (nevus) syndrome
Clinical finding	belongs_to_the_category_of	Dyspnea
Complication of pregnancy, childbirth and/or the puerperium	belongs_to_the_category_of	Delivery problem
Obstetrical	belongs_to_the_category_of	Delivery problem
Obstetric disorders	belongs_to_the_category_of	Delivery problem
Clinical finding	belongs_to_the_category_of	Dystonia
Clinical finding	belongs_to_the_category_of	Dysuria
Clinical finding	belongs_to_the_category_of	Otalgia
Viral disease	belongs_to_the_category_of	Ebola virus
Virus	belongs_to_the_category_of	Ebola virus
Congenital malformation	belongs_to_the_category_of	Ebstein's anomaly
Congenital MeSH qualifier	belongs_to_the_category_of	Ebstein's anomaly
Congenital defects	belongs_to_the_category_of	Ebstein's anomaly
Congenital disease	belongs_to_the_category_of	Ebstein's anomaly
Neonatal Deformity	belongs_to_the_category_of	Ebstein's anomaly
Congenital condition	belongs_to_the_category_of	Ebstein's anomaly
Clinical finding	belongs_to_the_category_of	Ecchymosis
Helminth infection	belongs_to_the_category_of	Echinostoma ilocanum
Helminths	belongs_to_the_category_of	Echinostoma ilocanum
Helminth infection	belongs_to_the_category_of	Echinostomiasis
Helminths	belongs_to_the_category_of	Echinostomiasis
Imaging	belongs_to_the_category_of	Echocardiography
Medical Imaging	belongs_to_the_category_of	Echocardiography
Drugs, hormones and biological mediators	belongs_to_the_category_of	Echothiophate iodide
Viral disease	belongs_to_the_category_of	Echovirus
Virus	belongs_to_the_category_of	Echovirus
Complication of pregnancy, childbirth and/or the puerperium	belongs_to_the_category_of	Eclampsia
Obstetrical	belongs_to_the_category_of	Eclampsia
Obstetric disorders	belongs_to_the_category_of	Eclampsia
Drugs, hormones and biological mediators	belongs_to_the_category_of	Econazole
Bacteria	belongs_to_the_category_of	Ecthyma
Bacterial infectious disease	belongs_to_the_category_of	Ecthyma
Bacterial	belongs_to_the_category_of	Ecthyma
Viral disease	belongs_to_the_category_of	Orf virus disease
Virus	belongs_to_the_category_of	Orf virus disease
Congenital malformation	belongs_to_the_category_of	Ectodermal dysplasia
Congenital MeSH qualifier	belongs_to_the_category_of	Ectodermal dysplasia
Congenital defects	belongs_to_the_category_of	Ectodermal dysplasia
Congenital disease	belongs_to_the_category_of	Ectodermal dysplasia
Neonatal Deformity	belongs_to_the_category_of	Ectodermal dysplasia
Congenital condition	belongs_to_the_category_of	Ectodermal dysplasia
Congenital malformation	belongs_to_the_category_of	Ectopia cordis
Congenital MeSH qualifier	belongs_to_the_category_of	Ectopia cordis
Congenital defects	belongs_to_the_category_of	Ectopia cordis
Congenital disease	belongs_to_the_category_of	Ectopia cordis
Neonatal Deformity	belongs_to_the_category_of	Ectopia cordis
Congenital condition	belongs_to_the_category_of	Ectopia cordis
Clinical finding	belongs_to_the_category_of	Congenital ectopic lens
Clinical finding	belongs_to_the_category_of	Edema
Clinical finding	belongs_to_the_category_of	Localized edema
Drugs, hormones and biological mediators	belongs_to_the_category_of	Edrophonium
Drugs, hormones and biological mediators	belongs_to_the_category_of	Edrophonium chloride
Drugs, hormones and biological mediators	belongs_to_the_category_of	edetic acid
mendelian inheritance	belongs_to_the_category_of	Ehlers-Danlos syndrome
Bacteria	belongs_to_the_category_of	Eikenella corrodens
Bacterial infectious disease	belongs_to_the_category_of	Eikenella corrodens
Bacterial	belongs_to_the_category_of	Eikenella corrodens
Protozoa	belongs_to_the_category_of	Eimeria
Protozoan infection	belongs_to_the_category_of	Eimeria
Disorder of cardiovascular system	belongs_to_the_category_of	Eisenmenger's defect
Social context	belongs_to_the_category_of	Elapid venom
Social context	belongs_to_the_category_of	Elderly person maltreatment
Iatrogenic disorder	belongs_to_the_category_of	Electroconvulsive therapy
Iatrogenic	belongs_to_the_category_of	Electroconvulsive therapy
Iatrogenic disorder	belongs_to_the_category_of	Electroencephalogram
Iatrogenic	belongs_to_the_category_of	Electroencephalogram
Analyte	belongs_to_the_category_of	Electrophoresis
Helminth infection	belongs_to_the_category_of	Bancroftian elephantiasis
Helminths	belongs_to_the_category_of	Bancroftian elephantiasis
autosomal dominant trait	belongs_to_the_category_of	Congenital elliptocytosis
Autosomal dominant inheritance	belongs_to_the_category_of	Congenital elliptocytosis
autosomal recessive trait	belongs_to_the_category_of	Chondroectodermal dysplasia
Autosomal recessive inheritance	belongs_to_the_category_of	Chondroectodermal dysplasia
Disorder of cardiovascular system	belongs_to_the_category_of	Embolism
Iatrogenic disorder	belongs_to_the_category_of	Air embolus
Iatrogenic	belongs_to_the_category_of	Air embolus
Complication of pregnancy, childbirth and/or the puerperium	belongs_to_the_category_of	Amniotic fluid embolism
Obstetrical	belongs_to_the_category_of	Amniotic fluid embolism
Obstetric disorders	belongs_to_the_category_of	Amniotic fluid embolism
Drugs, hormones and biological mediators	belongs_to_the_category_of	Emepronium
Drugs, hormones and biological mediators	belongs_to_the_category_of	Emetine
Disorder due to infection	belongs_to_the_category_of	Empyema of gallbladder
Infection	belongs_to_the_category_of	Empyema of gallbladder
Inflammation	belongs_to_the_category_of	Abscess of pleural cavity
Drugs, hormones and biological mediators	belongs_to_the_category_of	Enalapril
Drugs, hormones and biological mediators	belongs_to_the_category_of	Enalaprilat
Drugs, hormones and biological mediators	belongs_to_the_category_of	Enbucrilate
Inflammation	belongs_to_the_category_of	Encephalitis
Disorder of nervous system	belongs_to_the_category_of	Encephalitis
Neurologic	belongs_to_the_category_of	Encephalitis
Viral disease	belongs_to_the_category_of	European tick borne encephalitis virus
Virus	belongs_to_the_category_of	European tick borne encephalitis virus
Viral disease	belongs_to_the_category_of	Encephalitis Virus, Eastern Equine
Virus	belongs_to_the_category_of	Encephalitis Virus, Eastern Equine
Viral disease	belongs_to_the_category_of	Japanese encephalitis virus
Virus	belongs_to_the_category_of	Japanese encephalitis virus
Viral disease	belongs_to_the_category_of	Encephalitis Virus, St. Louis
Virus	belongs_to_the_category_of	Encephalitis Virus, St. Louis
Viral disease	belongs_to_the_category_of	Venezuelan equine encephalitis virus
Virus	belongs_to_the_category_of	Venezuelan equine encephalitis virus
Viral disease	belongs_to_the_category_of	Encephalitis Virus, Western Equine
Virus	belongs_to_the_category_of	Encephalitis Virus, Western Equine
Viral disease	belongs_to_the_category_of	California encephalitis virus infection neuroinvasive disease
Virus	belongs_to_the_category_of	California encephalitis virus infection neuroinvasive disease
Viral disease	belongs_to_the_category_of	Encephalitis due to European subtype of tick-borne encephalitis virus
Virus	belongs_to_the_category_of	Encephalitis due to European subtype of tick-borne encephalitis virus
Viral disease	belongs_to_the_category_of	Arbovirus encephalitis
Virus	belongs_to_the_category_of	Arbovirus encephalitis
Viral disease	belongs_to_the_category_of	Japanese encephalitis virus disease
Virus	belongs_to_the_category_of	Japanese encephalitis virus disease
Disorder of nervous system	belongs_to_the_category_of	Acute disseminated encephalomyelitis
Neurologic	belongs_to_the_category_of	Acute disseminated encephalomyelitis
Viral disease	belongs_to_the_category_of	St. Louis encephalitis virus infection
Virus	belongs_to_the_category_of	St. Louis encephalitis virus infection
Viral disease	belongs_to_the_category_of	Viral encephalitis transmitted by tick
Virus	belongs_to_the_category_of	Viral encephalitis transmitted by tick
Congenital malformation	belongs_to_the_category_of	Congenital cerebral hernia
Congenital MeSH qualifier	belongs_to_the_category_of	Congenital cerebral hernia
Congenital defects	belongs_to_the_category_of	Congenital cerebral hernia
Congenital disease	belongs_to_the_category_of	Congenital cerebral hernia
Neonatal Deformity	belongs_to_the_category_of	Congenital cerebral hernia
Congenital condition	belongs_to_the_category_of	Congenital cerebral hernia
Inflammation	belongs_to_the_category_of	Acute hemorrhagic leukoencephalitis
Viral disease	belongs_to_the_category_of	Venezuelan equine encephalitis virus infection
Virus	belongs_to_the_category_of	Venezuelan equine encephalitis virus infection
Mental disorder in childhood	belongs_to_the_category_of	Functional encopresis
Congenital malformation	belongs_to_the_category_of	Endocardial cushion defect
Congenital MeSH qualifier	belongs_to_the_category_of	Endocardial cushion defect
Congenital defects	belongs_to_the_category_of	Endocardial cushion defect
Congenital disease	belongs_to_the_category_of	Endocardial cushion defect
Neonatal Deformity	belongs_to_the_category_of	Endocardial cushion defect
Congenital condition	belongs_to_the_category_of	Endocardial cushion defect
Congenital malformation	belongs_to_the_category_of	Endocardial fibroelastosis
Congenital MeSH qualifier	belongs_to_the_category_of	Endocardial fibroelastosis
Congenital defects	belongs_to_the_category_of	Endocardial fibroelastosis
Congenital disease	belongs_to_the_category_of	Endocardial fibroelastosis
Neonatal Deformity	belongs_to_the_category_of	Endocardial fibroelastosis
Congenital condition	belongs_to_the_category_of	Endocardial fibroelastosis
Inflammation	belongs_to_the_category_of	Endocarditis
Malignant neoplastic disease	belongs_to_the_category_of	Yolk sac tumor
Hyperplasia	belongs_to_the_category_of	Endometrial hyperplasia
Gynecologic	belongs_to_the_category_of	Endometrial hyperplasia
Gynecologic	belongs_to_the_category_of	Endometriosis
Gynecologic	belongs_to_the_category_of	Endometritis
Inflammation	belongs_to_the_category_of	Endophthalmitis
Chemical	belongs_to_the_category_of	Endosulfan
Drugs, hormones and biological mediators	belongs_to_the_category_of	Enflurane
Clinical finding	belongs_to_the_category_of	Enophthalmos
Drugs, hormones and biological mediators	belongs_to_the_category_of	Enoxacin
Protozoa	belongs_to_the_category_of	Entamoeba histolytica
Protozoan infection	belongs_to_the_category_of	Entamoeba histolytica
Protozoa	belongs_to_the_category_of	Infection by Entamoeba
Protozoan infection	belongs_to_the_category_of	Infection by Entamoeba
Undernutrition	belongs_to_the_category_of	Enteral Nutrition
Bacteria	belongs_to_the_category_of	Enteritis necroticans
Bacterial infectious disease	belongs_to_the_category_of	Enteritis necroticans
Bacterial	belongs_to_the_category_of	Enteritis necroticans
Bacteria	belongs_to_the_category_of	Enterocolitis, Pseudomembranous
Bacterial infectious disease	belongs_to_the_category_of	Enterocolitis, Pseudomembranous
Bacterial	belongs_to_the_category_of	Enterocolitis, Pseudomembranous
Clinical finding	belongs_to_the_category_of	Entropion
Mental disorder in childhood	belongs_to_the_category_of	Enuresis
Disorder of hematopoietic system	belongs_to_the_category_of	Eosinophilia
Abnormality of blood and blood-forming tissues	belongs_to_the_category_of	Eosinophilia
Hematological abnormality	belongs_to_the_category_of	Eosinophilia
Hypersensitivity reaction	belongs_to_the_category_of	Tropical pulmonary eosinophilia
hypersensitive syndrome	belongs_to_the_category_of	Tropical pulmonary eosinophilia
Neoplasm	belongs_to_the_category_of	Eosinophilic Granuloma
Pediatric Neoplasm	belongs_to_the_category_of	Eosinophilic Granuloma
Neoplastic disease	belongs_to_the_category_of	Eosinophilic Granuloma
Neoplasm	belongs_to_the_category_of	Ependymoma
Pediatric Neoplasm	belongs_to_the_category_of	Ependymoma
Neoplastic disease	belongs_to_the_category_of	Ependymoma
Drugs, hormones and biological mediators	belongs_to_the_category_of	Ephedrine
Inflammation	belongs_to_the_category_of	Lyell syndrome
Clinical finding	belongs_to_the_category_of	Lyell syndrome
mendelian inheritance	belongs_to_the_category_of	Epidermodysplasia verruciformis
Fungi	belongs_to_the_category_of	Epidermophyton floccosum
Mycosis	belongs_to_the_category_of	Epidermophyton floccosum
Fungal	belongs_to_the_category_of	Epidermophyton floccosum
Inflammation	belongs_to_the_category_of	Epididymitis
Bacteria	belongs_to_the_category_of	Epiglottitis
Bacterial infectious disease	belongs_to_the_category_of	Epiglottitis
Bacterial	belongs_to_the_category_of	Epiglottitis
Disorder of nervous system	belongs_to_the_category_of	Epilepsy
Neurologic	belongs_to_the_category_of	Epilepsy
Disorder of nervous system	belongs_to_the_category_of	Absence seizure
Neurologic	belongs_to_the_category_of	Absence seizure
Disorder of nervous system	belongs_to_the_category_of	Temporal lobe epilepsy
Neurologic	belongs_to_the_category_of	Temporal lobe epilepsy
Drugs, hormones and biological mediators	belongs_to_the_category_of	Epinephrine
Drugs, hormones and biological mediators	belongs_to_the_category_of	Epirubicin
Clinical finding	belongs_to_the_category_of	Episcleritis
